"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2005M01","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","171",""
"2005M01","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.9",""
"2005M01","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","153",""
"2005M01","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.3",""
"2005M01","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total",":",""
"2005M01","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total",":",""
"2005M01","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","4,285",""
"2005M01","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.7",""
"2005M01","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","64",""
"2005M01","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.5",""
"2005M01","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","61",""
"2005M01","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.2",""
"2005M01","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","90",""
"2005M01","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.3",""
"2005M01","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","92",""
"2005M01","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2005M01","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","512",""
"2005M01","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.5",""
"2005M01","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","500",""
"2005M01","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.2",""
"2005M01","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,150",""
"2005M01","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.4",""
"2005M01","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,104",""
"2005M01","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.1",""
"2005M01","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,578",""
"2005M01","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","9.3",""
"2005M01","France","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,433",""
"2005M01","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"2005M01","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","263",""
"2005M01","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","14.1",""
"2005M01","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","251",""
