"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006M07","United States","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.0",""
"2006M07","United States","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","7,222",""
"2006M07","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2006M07","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,680",""
"2006M07","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.0",""
"2006M07","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,740",""
"2006M07","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
"2006M08","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","16,897",""
"2006M08","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.3",""
"2006M08","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","17,400",""
"2006M08","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2006M08","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","18,648",""
"2006M08","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2006M08","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","19,063",""
"2006M08","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2006M08","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","18,451",""
"2006M08","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2006M08","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","18,854",""
"2006M08","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2006M08","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","17,416",""
"2006M08","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2006M08","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","17,793",""
"2006M08","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2006M08","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","11,747",""
"2006M08","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.0",""
"2006M08","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12,126",""
"2006M08","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2006M08","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","12,362",""
"2006M08","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.0",""
"2006M08","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12,752",""
"2006M08","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2006M08","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","12,273",""
"2006M08","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.0",""
"2006M08","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12,664",""
"2006M08","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.3",""
"2006M08","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","377",""
"2006M08","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.1",""
"2006M08","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","359",""
"2006M08","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2006M08","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","317",""
"2006M08","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.9",""
"2006M08","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","322",""
"2006M08","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2006M08","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","356",""
"2006M08","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.8",""
"2006M08","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","362",""
"2006M08","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2006M08","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","111",""
"2006M08","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","3.8",""
"2006M08","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","109",""
"2006M08","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"2006M08","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total",":",""
"2006M08","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total",":",""
"2006M08","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","4,008",""
"2006M08","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2006M08","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","37",""
"2006M08","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.4",""
"2006M08","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","40",""
"2006M08","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.8",""
"2006M08","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","122",""
"2006M08","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.3",""
"2006M08","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","113",""
"2006M08","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2006M08","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","440",""
"2006M08","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.8",""
"2006M08","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","433",""
"2006M08","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"2006M08","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,776",""
"2006M08","Spain","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.1",""
"2006M08","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,809",""
"2006M08","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.3",""
"2006M08","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,449",""
"2006M08","France","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.6",""
"2006M08","France","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,496",""
"2006M08","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.9",""
"2006M08","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","198",""
"2006M08","Croatia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","10.6",""
"2006M08","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","209",""
"2006M08","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2006M08","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,388",""
"2006M08","Italy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.8",""
"2006M08","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,623",""
"2006M08","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2006M08","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","15",""
"2006M08","Cyprus","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.1",""
"2006M08","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","15",""
"2006M08","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
"2006M08","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","67",""
"2006M08","Latvia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.9",""
"2006M08","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","71",""
"2006M08","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2006M08","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","90",""
"2006M08","Lithuania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.9",""
"2006M08","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","88",""
"2006M08","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.8",""
"2006M08","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","9",""
"2006M08","Luxembourg","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.3",""
"2006M08","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","9",""
"2006M08","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.6",""
"2006M08","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","318",""
"2006M08","Hungary","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.5",""
"2006M08","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","321",""
"2006M08","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2006M08","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","11",""
"2006M08","Malta","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.6",""
"2006M08","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","11",""
"2006M08","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2006M08","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","379",""
"2006M08","Netherlands","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.5",""
"2006M08","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","402",""
"2006M08","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.8",""
"2006M08","Austria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","189",""
"2006M08","Austria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.6",""
"2006M08","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","200",""
"2006M08","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2006M08","Poland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,210",""
"2006M08","Poland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","13.2",""
"2006M08","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,251",""
"2006M08","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.5",""
"2006M08","Portugal","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","467",""
"2006M08","Portugal","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.6",""
"2006M08","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","472",""
"2006M08","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"2006M08","Romania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","718",""
"2006M08","Romania","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.9",""
"2006M08","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","739",""
"2006M08","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2006M08","Slovenia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","57",""
"2006M08","Slovenia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.6",""
"2006M08","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","58",""
"2006M08","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.7",""
"2006M08","Slovakia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","338",""
"2006M08","Slovakia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","12.9",""
"2006M08","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","342",""
"2006M08","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.1",""
"2006M08","Finland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","185",""
"2006M08","Finland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.9",""
"2006M08","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","201",""
"2006M08","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2006M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","308",""
"2006M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","6.4",""
"2006M08","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","335",""
"2006M08","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2006M08","United Kingdom","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,751",""
"2006M08","United Kingdom","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.7",""
"2006M08","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,663",""
"2006M08","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4",""
"2006M08","Iceland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","5",""
"2006M08","Iceland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","2.7",""
"2006M08","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","5",""
"2006M08","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.9",""
"2006M08","Norway","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","81",""
"2006M08","Norway","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","3.3",""
"2006M08","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","81",""
"2006M08","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.3",""
"2006M08","Turkey","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","1,935",""
"2006M08","Turkey","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.6",""
"2006M08","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","1,988",""
"2006M08","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.0",""
"2006M08","United States","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","7,085",""
"2006M08","United States","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.6",""
"2006M08","United States","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","7,100",""
"2006M08","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2006M08","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","2,730",""
"2006M08","Japan","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.1",""
"2006M08","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","2,740",""
"2006M08","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
"2006M09","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","16,976",""
"2006M09","European Union - 27 countries (from 2019)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.3",""
"2006M09","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","17,244",""
"2006M09","European Union - 27 countries (from 2019)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"2006M09","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","18,708",""
"2006M09","European Union - 28 countries","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2006M09","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","18,905",""
"2006M09","European Union - 28 countries","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2006M09","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","18,504",""
"2006M09","European Union - 27 countries (2007-2013)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2006M09","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","18,693",""
"2006M09","European Union - 27 countries (2007-2013)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.0",""
"2006M09","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","17,473",""
"2006M09","European Union - 25 countries (2004-2006)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.9",""
"2006M09","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","17,624",""
"2006M09","European Union - 25 countries (2004-2006)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.0",""
"2006M09","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","11,879",""
"2006M09","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.0",""
"2006M09","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12,042",""
"2006M09","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2006M09","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","12,489",""
"2006M09","Euro area (19 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.0",""
"2006M09","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12,655",""
"2006M09","Euro area (19 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2006M09","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","12,403",""
"2006M09","Euro area (18 countries)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.1",""
"2006M09","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","12,571",""
"2006M09","Euro area (18 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2006M09","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","378",""
"2006M09","Belgium","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.1",""
"2006M09","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","366",""
"2006M09","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"2006M09","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","303",""
"2006M09","Bulgaria","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.6",""
"2006M09","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","313",""
"2006M09","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.0",""
"2006M09","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","376",""
"2006M09","Czechia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","7.2",""
"2006M09","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","362",""
"2006M09","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2006M09","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","106",""
"2006M09","Denmark","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","3.6",""
"2006M09","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","106",""
"2006M09","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2006M09","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total",":",""
"2006M09","Germany (until 1990 former territory of the FRG)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total",":",""
"2006M09","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","3,979",""
"2006M09","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8",""
"2006M09","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","38",""
"2006M09","Estonia","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","5.4",""
"2006M09","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","39",""
"2006M09","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2006M09","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","107",""
"2006M09","Ireland","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","4.7",""
"2006M09","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","110",""
"2006M09","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2006M09","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Thousand persons","Total","419",""
"2006M09","Greece","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total","Percentage of active population","Total","8.4",""
"2006M09","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Thousand persons","Total","429",""
