"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2000","Portugal","Total","Percentage of active population","Total","5.1",""
"2000","Romania","Total","Thousand persons","Total","875",""
"2000","Romania","Total","Percentage of total population","Total","4.8",""
"2000","Romania","Total","Percentage of active population","Total","7.6",""
"2000","Slovenia","Total","Thousand persons","Total","65",""
"2000","Slovenia","Total","Percentage of total population","Total","4.1",""
"2000","Slovenia","Total","Percentage of active population","Total","6.7",""
"2000","Slovakia","Total","Thousand persons","Total","482",""
"2000","Slovakia","Total","Percentage of total population","Total","11.9",""
"2000","Slovakia","Total","Percentage of active population","Total","18.9",""
"2000","Finland","Total","Thousand persons","Total","253",""
"2000","Finland","Total","Percentage of total population","Total","6.5",""
"2000","Finland","Total","Percentage of active population","Total","9.8",""
"2000","Sweden","Total","Thousand persons","Total","253","d"
"2000","Sweden","Total","Percentage of total population","Total",":",""
"2000","Sweden","Total","Percentage of active population","Total","5.6","d"
"2000","United Kingdom","Total","Thousand persons","Total","1,554",""
"2000","United Kingdom","Total","Percentage of total population","Total","3.7",""
"2000","United Kingdom","Total","Percentage of active population","Total","5.4",""
"2000","Iceland","Total","Thousand persons","Total",":",""
"2000","Iceland","Total","Percentage of total population","Total",":",""
"2000","Iceland","Total","Percentage of active population","Total",":",""
"2000","Norway","Total","Thousand persons","Total","76",""
"2000","Norway","Total","Percentage of total population","Total","2.4",""
"2000","Norway","Total","Percentage of active population","Total","3.2",""
"2000","Turkey","Total","Thousand persons","Total",":",""
"2000","Turkey","Total","Percentage of total population","Total",":",""
"2000","Turkey","Total","Percentage of active population","Total",":",""
"2000","United States","Total","Thousand persons","Total","5,692",""
"2000","United States","Total","Percentage of total population","Total",":",""
"2000","United States","Total","Percentage of active population","Total","4.0",""
"2000","Japan","Total","Thousand persons","Total","3,197",""
"2000","Japan","Total","Percentage of total population","Total",":",""
"2000","Japan","Total","Percentage of active population","Total","4.7",""
"2001","European Union - 27 countries (from 2019)","Total","Thousand persons","Total","18,119",""
"2001","European Union - 27 countries (from 2019)","Total","Percentage of total population","Total",":",""
"2001","European Union - 27 countries (from 2019)","Total","Percentage of active population","Total","9.2",""
"2001","European Union - 28 countries","Total","Thousand persons","Total","19,569",""
"2001","European Union - 28 countries","Total","Percentage of total population","Total",":",""
"2001","European Union - 28 countries","Total","Percentage of active population","Total","8.7",""
"2001","European Union - 27 countries (2007-2013)","Total","Thousand persons","Total","19,286",""
"2001","European Union - 27 countries (2007-2013)","Total","Percentage of total population","Total",":",""
"2001","European Union - 27 countries (2007-2013)","Total","Percentage of active population","Total","8.6",""
"2001","European Union - 25 countries (2004-2006)","Total","Thousand persons","Total","17,786",""
"2001","European Union - 25 countries (2004-2006)","Total","Percentage of total population","Total",":",""
"2001","European Union - 25 countries (2004-2006)","Total","Percentage of active population","Total","8.5",""
"2001","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","12,122",""
"2001","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"2001","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","8.3",""
"2001","Euro area (19 countries)","Total","Thousand persons","Total","12,122",""
"2001","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"2001","Euro area (19 countries)","Total","Percentage of active population","Total","8.3",""
"2001","Euro area (18 countries)","Total","Thousand persons","Total","11,838",""
"2001","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"2001","Euro area (18 countries)","Total","Percentage of active population","Total","8.2",""
"2001","Belgium","Total","Thousand persons","Total","286",""
"2001","Belgium","Total","Percentage of total population","Total","3.7",""
"2001","Belgium","Total","Percentage of active population","Total","6.6",""
"2001","Bulgaria","Total","Thousand persons","Total","670",""
"2001","Bulgaria","Total","Percentage of total population","Total","11.1",""
"2001","Bulgaria","Total","Percentage of active population","Total","19.6",""
"2001","Czechia","Total","Thousand persons","Total","418",""
"2001","Czechia","Total","Percentage of total population","Total","5.1",""
"2001","Czechia","Total","Percentage of active population","Total","8.1",""
"2001","Denmark","Total","Thousand persons","Total","130",""
"2001","Denmark","Total","Percentage of total population","Total","3.3",""
"2001","Denmark","Total","Percentage of active population","Total","4.5",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,059",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.8",""
"2001","Estonia","Total","Thousand persons","Total","88",""
"2001","Estonia","Total","Percentage of total population","Total","8.2",""
"2001","Estonia","Total","Percentage of active population","Total","13.0",""
"2001","Ireland","Total","Thousand persons","Total","80",""
"2001","Ireland","Total","Percentage of total population","Total","2.5",""
"2001","Ireland","Total","Percentage of active population","Total","4.2",""
"2001","Greece","Total","Thousand persons","Total","488",""
"2001","Greece","Total","Percentage of total population","Total","5.9",""
"2001","Greece","Total","Percentage of active population","Total","10.7",""
"2001","Spain","Total","Thousand persons","Total","1,904",""
"2001","Spain","Total","Percentage of total population","Total","6.0",""
"2001","Spain","Total","Percentage of active population","Total","10.6",""
"2001","France","Total","Thousand persons","Total","2,114",""
"2001","France","Total","Percentage of total population","Total",":",""
"2001","France","Total","Percentage of active population","Total","7.8",""
"2001","Croatia","Total","Thousand persons","Total","283",""
"2001","Croatia","Total","Percentage of total population","Total",":",""
"2001","Croatia","Total","Percentage of active population","Total","16.0",""
"2001","Italy","Total","Thousand persons","Total","2,173",""
"2001","Italy","Total","Percentage of total population","Total","4.9",""
"2001","Italy","Total","Percentage of active population","Total","9.0",""
"2001","Cyprus","Total","Thousand persons","Total","13",""
"2001","Cyprus","Total","Percentage of total population","Total",":",""
"2001","Cyprus","Total","Percentage of active population","Total","3.9",""
"2001","Latvia","Total","Thousand persons","Total","148","d"
"2001","Latvia","Total","Percentage of total population","Total",":",""
"2001","Latvia","Total","Percentage of active population","Total","13.5","d"
"2001","Lithuania","Total","Thousand persons","Total","284",""
"2001","Lithuania","Total","Percentage of total population","Total",":",""
"2001","Lithuania","Total","Percentage of active population","Total","17.4",""
"2001","Luxembourg","Total","Thousand persons","Total","4",""
"2001","Luxembourg","Total","Percentage of total population","Total",":",""
"2001","Luxembourg","Total","Percentage of active population","Total","1.9",""
"2001","Hungary","Total","Thousand persons","Total","228",""
"2001","Hungary","Total","Percentage of total population","Total","3.0",""
"2001","Hungary","Total","Percentage of active population","Total","5.6",""
"2001","Malta","Total","Thousand persons","Total","12",""
"2001","Malta","Total","Percentage of total population","Total",":",""
"2001","Malta","Total","Percentage of active population","Total","7.6",""
"2001","Netherlands","Total","Thousand persons","Total","247",""
"2001","Netherlands","Total","Percentage of total population","Total","1.5",""
"2001","Netherlands","Total","Percentage of active population","Total","3.1",""
"2001","Austria","Total","Thousand persons","Total","152",""
"2001","Austria","Total","Percentage of total population","Total","2.3",""
"2001","Austria","Total","Percentage of active population","Total","4.0",""
"2001","Poland","Total","Thousand persons","Total","3,167",""
"2001","Poland","Total","Percentage of total population","Total","10.9",""
"2001","Poland","Total","Percentage of active population","Total","18.3",""
"2001","Portugal","Total","Thousand persons","Total","269",""
"2001","Portugal","Total","Percentage of total population","Total","3.0",""
"2001","Portugal","Total","Percentage of active population","Total","5.1",""
"2001","Romania","Total","Thousand persons","Total","831",""
"2001","Romania","Total","Percentage of total population","Total","4.3",""
"2001","Romania","Total","Percentage of active population","Total","7.4",""
"2001","Slovenia","Total","Thousand persons","Total","60",""
"2001","Slovenia","Total","Percentage of total population","Total","3.8",""
"2001","Slovenia","Total","Percentage of active population","Total","6.2",""
"2001","Slovakia","Total","Thousand persons","Total","504",""
"2001","Slovakia","Total","Percentage of total population","Total","12.4",""
"2001","Slovakia","Total","Percentage of active population","Total","19.5",""
"2001","Finland","Total","Thousand persons","Total","238",""
"2001","Finland","Total","Percentage of total population","Total","6.1",""
"2001","Finland","Total","Percentage of active population","Total","9.1",""
"2001","Sweden","Total","Thousand persons","Total","270","b"
"2001","Sweden","Total","Percentage of total population","Total","4.2","b"
"2001","Sweden","Total","Percentage of active population","Total","5.8","b"
"2001","United Kingdom","Total","Thousand persons","Total","1,451",""
"2001","United Kingdom","Total","Percentage of total population","Total","3.4",""
"2001","United Kingdom","Total","Percentage of active population","Total","5.0",""
"2001","Iceland","Total","Thousand persons","Total",":",""
"2001","Iceland","Total","Percentage of total population","Total",":",""
"2001","Iceland","Total","Percentage of active population","Total",":",""
"2001","Norway","Total","Thousand persons","Total","81",""
"2001","Norway","Total","Percentage of total population","Total","2.6",""
"2001","Norway","Total","Percentage of active population","Total","3.4",""
"2001","Turkey","Total","Thousand persons","Total",":",""
"2001","Turkey","Total","Percentage of total population","Total",":",""
"2001","Turkey","Total","Percentage of active population","Total",":",""
"2001","United States","Total","Thousand persons","Total","6,801",""
"2001","United States","Total","Percentage of total population","Total",":",""
"2001","United States","Total","Percentage of active population","Total","4.7",""
"2001","Japan","Total","Thousand persons","Total","3,397",""
"2001","Japan","Total","Percentage of total population","Total",":",""
"2001","Japan","Total","Percentage of active population","Total","5.0",""
"2002","European Union - 27 countries (from 2019)","Total","Thousand persons","Total","18,907",""
"2002","European Union - 27 countries (from 2019)","Total","Percentage of total population","Total",":",""
"2002","European Union - 27 countries (from 2019)","Total","Percentage of active population","Total","9.6",""
